,ID,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Education_Lvl,Age,Age_Group,AgeGroup_inSymbol,Income_Group,Active_Cust,Child_Status
25,7892,Graduation,Single,18589,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,2,44,Middle Age Adult,3,High,Active,Without Child
26,2404,Graduation,Married,53359,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,2,37,Adult,2,High,Active,With Child
27,5255,Graduation,Single,40756,1,0,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,2,27,Adult,2,High,Active,With Child
28,9422,Graduation,Married,38360,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,2,24,Adult,2,High,Active,With Child
29,1966,PhD,Married,84618,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,3,48,Middle Age Adult,3,High,Passive,Without Child
30,6864,Master,Single,10979,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,3,25,Adult,2,Upper Middle,Active,Without Child
31,3033,Master,Married,38620,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,3,50,Middle Age Adult,3,High,Active,Without Child
32,5710,Graduation,Married,40548,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,2,42,Middle Age Adult,3,High,Active,With Child
33,7373,PhD,Single,46610,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,3,60,Elder,4,High,Active,With Child
34,8755,Master,Married,68657,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,3,67,Elder,4,High,Active,Without Child
35,10738,Master,Single,49389,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,3,62,Elder,4,High,Active,With Child
36,4339,PhD,Married,67353,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,3,43,Middle Age Adult,3,High,Active,With Child
37,10755,Master,Married,23718,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,3,37,Adult,2,High,Active,With Child
38,8595,Graduation,Single,42429,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,2,41,Middle Age Adult,3,High,Passive,With Child
39,2968,PhD,Single,48948,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,3,70,Elder,4,High,Active,Without Child
40,8601,Graduation,Married,80011,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,2,33,Adult,2,High,Active,With Child
41,503,Master,Married,20559,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,3,28,Adult,2,High,Active,With Child
42,8430,Graduation,Married,21994,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,2,55,Middle Age Adult,3,High,Active,With Child
43,7281,PhD,Single,59052,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,3,54,Middle Age Adult,3,High,Active,Without Child
44,2139,Master,Married,7500,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,3,38,Adult,2,Upper Middle,Active,With Child
45,1371,Graduation,Single,79941,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,2,38,Adult,2,High,Active,Without Child
46,9909,Master,Married,7500,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,3,16,Teen,1,Upper Middle,Active,Without Child
47,7286,Graduation,Married,41728,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,2,45,Middle Age Adult,3,High,Passive,With Child
48,7244,Graduation,Single,54356,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,2,63,Elder,4,High,Passive,With Child
49,6566,PhD,Married,72550,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,3,58,Middle Age Adult,3,High,Active,With Child
50,8614,Graduation,Single,65486,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,2,57,Middle Age Adult,3,High,Active,With Child
51,4114,Master,Married,79143,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,3,48,Middle Age Adult,3,High,Active,Without Child
52,1331,Graduation,Single,35790,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,2,36,Adult,2,High,Active,With Child
53,2225,Graduation,Single,82582,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,2,37,Adult,2,High,Active,Without Child
54,9381,Graduation,Married,66373,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,2,35,Adult,2,High,Active,With Child
55,6260,Master,Married,82384,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,3,57,Middle Age Adult,3,High,Active,Without Child
56,10383,Graduation,Single,70287,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,2,47,Middle Age Adult,3,High,Active,Without Child
57,7437,Graduation,Single,27938,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,2,26,Adult,2,High,Active,With Child
58,8557,Graduation,Single,42051,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,2,31,Adult,2,High,Active,With Child
59,8375,PhD,Married,55954,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,3,46,Middle Age Adult,3,High,Active,With Child
60,6853,Master,Single,75777,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,3,31,Adult,2,High,Active,Without Child
61,3076,Graduation,Married,66653,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,2,37,Adult,2,High,Active,With Child
62,1012,Graduation,Single,61823,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,2,61,Elder,4,High,Active,With Child
63,6518,PhD,Single,67680,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,3,62,Elder,4,High,Active,With Child
64,4137,Graduation,Married,70666,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,2,65,Elder,4,High,Active,Without Child
65,8082,Graduation,Married,25721,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,2,42,Middle Age Adult,3,High,Active,With Child
66,1386,Graduation,Married,32474,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,2,47,Middle Age Adult,3,High,Active,With Child
67,9369,Master,Single,88194,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,3,35,Adult,2,High,Active,With Child
68,4477,Graduation,Married,69096,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,2,55,Middle Age Adult,3,High,Active,With Child
69,1357,Graduation,Married,74854,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,2,43,Middle Age Adult,3,High,Active,With Child
70,1402,Master,Married,66991,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,3,58,Middle Age Adult,3,High,Active,Without Child
71,10629,Master,Married,44730,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,3,39,Adult,2,High,Active,With Child
72,6312,Graduation,Married,65031,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,2,54,Middle Age Adult,3,High,Active,With Child
73,8132,PhD,Married,60631,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,3,38,Adult,2,High,Active,With Child
74,1050,Graduation,Married,28332,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,2,62,Elder,4,High,Active,Without Child
75,5846,Graduation,Single,40246,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,2,35,Adult,2,High,Active,With Child
76,1859,Master,Married,75251,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,3,40,Middle Age Adult,3,High,Active,Without Child
77,7503,Graduation,Single,75825,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,2,36,Adult,2,High,Active,Without Child
78,10401,Master,Married,26326,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,3,37,Adult,2,High,Active,Without Child
79,1618,Graduation,Married,56046,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,2,48,Middle Age Adult,3,High,Active,Without Child
80,3332,Graduation,Single,29760,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,2,27,Adult,2,High,Active,With Child
81,2261,Graduation,Married,26304,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,2,44,Middle Age Adult,3,High,Active,With Child
82,5346,Master,Married,23559,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,3,40,Middle Age Adult,3,High,Active,With Child
83,4119,Master,Married,38620,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,3,50,Middle Age Adult,3,High,Active,Without Child
84,535,Graduation,Single,81361,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,2,27,Adult,2,High,Active,Without Child
85,5268,Graduation,Married,29440,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,2,53,Middle Age Adult,3,High,Passive,With Child
86,273,Master,Married,36138,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,3,43,Middle Age Adult,3,High,Active,With Child
87,4452,Graduation,Single,50388,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,2,57,Middle Age Adult,3,High,Active,With Child
88,8504,Graduation,Married,79593,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,2,41,Middle Age Adult,3,High,Active,Without Child
89,771,Graduation,Married,54178,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,2,47,Middle Age Adult,3,High,Active,With Child
90,8996,PhD,Married,53757,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,3,55,Middle Age Adult,3,High,Active,With Child
91,9235,Graduation,Single,53233,1,1,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,2,57,Middle Age Adult,3,High,Active,With Child
92,5798,Master,Married,48038,0,0,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,3,40,Middle Age Adult,3,High,Active,Without Child
93,11178,Master,Single,42394,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,3,42,Middle Age Adult,3,High,Active,With Child
94,2230,PhD,Married,23626,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,3,44,Middle Age Adult,3,High,Active,With Child
95,7516,Graduation,Married,30096,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,2,31,Adult,2,High,Active,With Child
96,7247,Graduation,Single,47916,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,2,52,Middle Age Adult,3,High,Active,With Child
97,11100,Graduation,Single,51813,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,2,41,Middle Age Adult,3,High,Active,With Child
98,4646,Master,Married,78497,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,3,62,Elder,4,High,Active,Without Child
99,3037,PhD,Married,50150,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,3,30,Adult,2,High,Active,Without Child
100,1473,Master,Single,47823,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,3,53,Middle Age Adult,3,High,Active,With Child
101,1016,PhD,Single,34554,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,3,55,Middle Age Adult,3,High,Active,With Child
102,4518,Graduation,Married,85693,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,2,34,Adult,2,High,Active,With Child
103,9370,PhD,Married,65846,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,3,68,Elder,4,High,Active,Without Child
104,8908,Graduation,Married,87195,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,2,55,Middle Age Adult,3,High,Active,Without Child
105,8373,Basic,Married,24594,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,1,34,Adult,2,High,Passive,With Child
106,7533,Graduation,Married,49096,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,2,49,Middle Age Adult,3,High,Active,With Child
107,2683,Graduation,Married,52413,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,2,44,Middle Age Adult,3,High,Active,With Child
108,3629,Graduation,Single,38557,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,2,34,Adult,2,High,Active,With Child
109,10991,Master,Married,89058,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,3,52,Middle Age Adult,3,High,Active,Without Child
110,5077,Graduation,Married,77298,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,2,34,Adult,2,High,Active,With Child
111,7431,PhD,Single,68126,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,3,21,Adult,2,High,Active,Without Child
112,3267,Master,Married,57288,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,3,51,Middle Age Adult,3,High,Active,With Child
113,999,Graduation,Single,86037,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,2,22,Adult,2,High,Passive,Without Child
114,9215,PhD,Married,43974,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,3,32,Adult,2,High,Active,With Child
115,2286,Graduation,Single,50785,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,2,51,Middle Age Adult,3,High,Active,With Child
116,1592,Graduation,Married,90765,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,2,44,Middle Age Adult,3,High,Active,Without Child
117,367,Master,Married,36550,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,3,35,Adult,2,High,Active,With Child
118,5234,Master,Married,30753,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,3,46,Middle Age Adult,3,High,Active,With Child
119,9862,Graduation,Married,21918,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,2,44,Middle Age Adult,3,High,Active,With Child
120,9805,Master,Married,56129,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,3,60,Elder,4,High,Active,With Child
121,6205,Master,Single,32557,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,3,47,Middle Age Adult,3,High,Active,With Child
122,8442,Master,Married,19510,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,3,28,Adult,2,High,Active,With Child
123,7386,Graduation,Single,30992,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,2,37,Adult,2,High,Active,With Child
124,7215,Graduation,Single,101970,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,2,30,Adult,2,High,Active,Without Child
125,1491,Master,Married,71488,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,3,48,Middle Age Adult,3,High,Active,Without Child
126,11071,Graduation,Single,79607,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,2,29,Adult,2,High,Active,Without Child
127,3381,Master,Married,54348,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,3,61,Elder,4,High,Active,With Child
128,8268,PhD,Married,62688,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,3,52,Middle Age Adult,3,High,Active,With Child
129,11051,PhD,Married,77376,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,3,58,Middle Age Adult,3,High,Active,With Child
130,8026,Graduation,Married,62998,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,2,61,Elder,4,High,Active,With Child
131,433,Master,Single,61331,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,3,55,Middle Age Adult,3,High,Active,With Child
132,9597,Graduation,Married,73448,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,2,45,Middle Age Adult,3,High,Active,Without Child
133,1295,Graduation,Married,51129,0,1,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,2,50,Middle Age Adult,3,High,Passive,With Child
134,5290,PhD,Married,41551,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,3,49,Middle Age Adult,3,High,Active,With Child
135,1685,PhD,Married,62981,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,3,46,Middle Age Adult,3,High,Active,Without Child
136,5342,Basic,Single,9548,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,1,36,Adult,2,Upper Middle,Active,With Child
137,9579,PhD,Married,33762,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,3,54,Middle Age Adult,3,High,Active,With Child
138,7660,PhD,Single,35860,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,3,41,Middle Age Adult,3,High,Active,With Child
139,1461,PhD,Single,36921,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,3,48,Middle Age Adult,3,High,Active,With Child
140,821,Master,Single,92859,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,3,20,Adult,2,High,Active,Without Child
141,11084,Master,Married,65104,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,3,37,Adult,2,High,Active,With Child
142,8690,Graduation,Married,86111,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,2,51,Middle Age Adult,3,High,Active,Without Child
143,2937,PhD,Single,68352,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,3,39,Adult,2,High,Active,With Child
144,9701,Graduation,Married,41883,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,2,25,Adult,2,High,Active,With Child
145,9949,Graduation,Married,59809,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,2,36,Adult,2,High,Active,With Child
146,10837,Graduation,Married,23957,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,2,37,Adult,2,High,Active,With Child
147,3120,Graduation,Married,38547,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,2,32,Adult,2,High,Active,With Child
148,5885,Master,Married,35688,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,3,39,Adult,2,High,Passive,With Child
149,4050,Master,Married,49605,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,3,48,Middle Age Adult,3,High,Active,Without Child
150,3830,Master,Married,59354,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,3,61,Elder,4,High,Active,With Child
151,7987,Graduation,Married,65747,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,2,45,Middle Age Adult,3,High,Passive,With Child
152,7798,Master,Married,46344,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,3,40,Middle Age Adult,3,High,Active,With Child
153,92,Graduation,Single,34176,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,2,26,Adult,2,High,Active,With Child
154,7055,PhD,Married,61010,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,3,60,Elder,4,High,Active,With Child
155,10240,Graduation,Married,69372,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,2,64,Elder,4,High,Active,Without Child
156,3025,Graduation,Single,49967,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,2,55,Middle Age Adult,3,High,Active,With Child
157,9283,Graduation,Single,60199,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,2,35,Adult,2,High,Active,With Child
158,9970,Graduation,Married,55375,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,2,36,Adult,2,High,Active,With Child
159,2730,Graduation,Single,80317,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,2,58,Middle Age Adult,3,High,Active,Without Child
160,2795,Master,Single,30523,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,3,55,Middle Age Adult,3,High,Active,With Child
161,9260,PhD,Married,70356,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,3,67,Elder,4,High,Active,Without Child
162,8182,Graduation,Married,23228,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,2,30,Adult,2,High,Passive,With Child
163,10095,PhD,Single,74165,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,3,38,Adult,2,High,Active,Without Child
165,4370,Graduation,Married,43482,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,2,47,Middle Age Adult,3,High,Active,With Child
166,10573,Graduation,Single,62551,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,2,60,Elder,4,High,Active,Without Child
167,3712,Graduation,Single,52332,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,2,54,Middle Age Adult,3,High,Active,Without Child
168,6637,Graduation,Single,66951,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,2,25,Adult,2,High,Active,Without Child
169,3152,Graduation,Married,26091,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,2,57,Middle Age Adult,3,High,Active,With Child
170,5610,Graduation,Married,33456,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,2,49,Middle Age Adult,3,High,Active,With Child
171,6460,Graduation,Married,28718,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,2,31,Adult,2,High,Active,With Child
